comparison	sample	type	s1ands2	s1only	s2only
blood	IonXpress_035_IonXpress_001	all	48882	1823	2898
blood	IonXpress_035_IonXpress_001	snp	47115	1241	2125
blood	IonXpress_035_IonXpress_001	indel	1338	388	467
blood	IonXpress_033_IonXpress_001	all	48981	1833	2808
blood	IonXpress_033_IonXpress_001	snp	47207	1252	2019
blood	IonXpress_033_IonXpress_001	indel	1326	344	484
blood	IonXpress_033_IonXpress_035	all	48682	2132	2031
blood	IonXpress_033_IonXpress_035	snp	46904	1555	1440
blood	IonXpress_033_IonXpress_035	indel	1319	351	410
blood	IonXpress_034_IonXpress_002	all	48961	2086	2760
blood	IonXpress_034_IonXpress_002	snp	47223	1450	2027
blood	IonXpress_034_IonXpress_002	indel	1281	412	454
blood	IonXpress_036_IonXpress_002	all	49392	2102	2329
blood	IonXpress_036_IonXpress_002	snp	47536	1435	1712
blood	IonXpress_036_IonXpress_002	indel	1378	486	359
blood	IonXpress_036_IonXpress_034	all	49292	2202	1755
blood	IonXpress_036_IonXpress_034	snp	47430	1541	1242
blood	IonXpress_036_IonXpress_034	indel	1389	475	312
saliva	IonXpress_037_IonXpress_011	all	49230	1719	2278
saliva	IonXpress_037_IonXpress_011	snp	47386	1124	1704
saliva	IonXpress_037_IonXpress_011	indel	1398	417	376
saliva	IonXpress_039_IonXpress_011	all	49555	1756	1958
saliva	IonXpress_039_IonXpress_011	snp	47686	1176	1403
saliva	IonXpress_039_IonXpress_011	indel	1419	390	356
saliva	IonXpress_039_IonXpress_037	all	49372	1939	1581
saliva	IonXpress_039_IonXpress_037	snp	47427	1435	1082
saliva	IonXpress_039_IonXpress_037	indel	1475	334	331
saliva	IonXpress_038_IonXpress_012	all	49350	2204	2122
saliva	IonXpress_038_IonXpress_012	snp	47509	1495	1579
saliva	IonXpress_038_IonXpress_012	indel	1372	506	344
saliva	IonXpress_040_IonXpress_012	all	49927	2415	1546
saliva	IonXpress_040_IonXpress_012	snp	48018	1692	1078
saliva	IonXpress_040_IonXpress_012	indel	1424	512	290
saliva	IonXpress_040_IonXpress_038	all	50157	2185	1397
saliva	IonXpress_040_IonXpress_038	snp	48111	1599	907
saliva	IonXpress_040_IonXpress_038	indel	1548	388	324
bloodsaliva	IonXpress_001_IonXpress_011	all	49673	2110	1835
bloodsaliva	IonXpress_001_IonXpress_011	snp	47809	1419	1267
bloodsaliva	IonXpress_001_IonXpress_011	indel	1377	406	363
bloodsaliva	IonXpress_001_IonXpress_037	all	49163	2620	1785
bloodsaliva	IonXpress_001_IonXpress_037	snp	47310	1918	1187
bloodsaliva	IonXpress_001_IonXpress_037	indel	1358	425	419
bloodsaliva	IonXpress_001_IonXpress_039	all	49455	2328	1851
bloodsaliva	IonXpress_001_IonXpress_039	snp	47582	1646	1273
bloodsaliva	IonXpress_001_IonXpress_039	indel	1390	393	387
bloodsaliva	IonXpress_035_IonXpress_011	all	48947	1758	2558
bloodsaliva	IonXpress_035_IonXpress_011	snp	47173	1183	1919
bloodsaliva	IonXpress_035_IonXpress_011	indel	1344	382	423
bloodsaliva	IonXpress_035_IonXpress_037	all	48849	1856	2096
bloodsaliva	IonXpress_035_IonXpress_037	snp	47013	1343	1500
bloodsaliva	IonXpress_035_IonXpress_037	indel	1398	328	404
bloodsaliva	IonXpress_035_IonXpress_039	all	49021	1684	2283
bloodsaliva	IonXpress_035_IonXpress_039	snp	47170	1186	1699
bloodsaliva	IonXpress_035_IonXpress_039	indel	1393	333	412
bloodsaliva	IonXpress_033_IonXpress_011	all	49070	1744	2443
bloodsaliva	IonXpress_033_IonXpress_011	snp	47297	1162	1784
bloodsaliva	IonXpress_033_IonXpress_011	indel	1325	345	447
bloodsaliva	IonXpress_033_IonXpress_037	all	48760	2054	2194
bloodsaliva	IonXpress_033_IonXpress_037	snp	46970	1489	1535
bloodsaliva	IonXpress_033_IonXpress_037	indel	1342	328	461
bloodsaliva	IonXpress_033_IonXpress_039	all	48992	1822	2321
bloodsaliva	IonXpress_033_IonXpress_039	snp	47177	1282	1676
bloodsaliva	IonXpress_033_IonXpress_039	indel	1348	322	455
bloodsaliva	IonXpress_002_IonXpress_012	all	49377	2347	2094
bloodsaliva	IonXpress_002_IonXpress_012	snp	47590	1658	1495
bloodsaliva	IonXpress_002_IonXpress_012	indel	1284	420	389
bloodsaliva	IonXpress_002_IonXpress_038	all	49404	2320	2150
bloodsaliva	IonXpress_002_IonXpress_038	snp	47536	1712	1460
bloodsaliva	IonXpress_002_IonXpress_038	indel	1354	350	483
bloodsaliva	IonXpress_002_IonXpress_040	all	49944	1780	2396
bloodsaliva	IonXpress_002_IonXpress_040	snp	48018	1230	1683
bloodsaliva	IonXpress_002_IonXpress_040	indel	1397	307	493
bloodsaliva	IonXpress_034_IonXpress_012	all	49001	2046	2469
bloodsaliva	IonXpress_034_IonXpress_012	snp	47239	1434	1847
bloodsaliva	IonXpress_034_IonXpress_012	indel	1300	393	400
bloodsaliva	IonXpress_034_IonXpress_038	all	49254	1793	2299
bloodsaliva	IonXpress_034_IonXpress_038	snp	47390	1283	1612
bloodsaliva	IonXpress_034_IonXpress_038	indel	1386	307	472
bloodsaliva	IonXpress_034_IonXpress_040	all	49597	1450	2744
bloodsaliva	IonXpress_034_IonXpress_040	snp	47720	953	1983
bloodsaliva	IonXpress_034_IonXpress_040	indel	1388	305	534
bloodsaliva	IonXpress_036_IonXpress_012	all	49344	2150	2127
bloodsaliva	IonXpress_036_IonXpress_012	snp	47482	1489	1605
bloodsaliva	IonXpress_036_IonXpress_012	indel	1368	496	337
bloodsaliva	IonXpress_036_IonXpress_038	all	49826	1668	1726
bloodsaliva	IonXpress_036_IonXpress_038	snp	47795	1176	1213
bloodsaliva	IonXpress_036_IonXpress_038	indel	1525	339	343
bloodsaliva	IonXpress_036_IonXpress_040	all	50139	1355	2200
bloodsaliva	IonXpress_036_IonXpress_040	snp	48075	896	1626
bloodsaliva	IonXpress_036_IonXpress_040	indel	1542	322	390
