sample	type	s1	s2	s1ands2	s1only	s2only
IonXpress_001_IonXpress_011	all	52823	52329	49673	2110	1835
IonXpress_001_IonXpress_011	snp	52823	52329	47809	1419	1267
IonXpress_001_IonXpress_011	indel	52823	52329	1377	406	363
IonXpress_002_IonXpress_012	all	52715	52224	49377	2347	2094
IonXpress_002_IonXpress_012	snp	52715	52224	47590	1658	1495
IonXpress_002_IonXpress_012	indel	52715	52224	1284	420	389
IonXpress_003_IonXpress_013	all	51601	51273	47964	2660	2393
IonXpress_003_IonXpress_013	snp	51601	51273	46157	1996	1665
IonXpress_003_IonXpress_013	indel	51601	51273	1307	379	440
IonXpress_004_IonXpress_014	all	51303	50551	47922	2630	1703
IonXpress_004_IonXpress_014	snp	51303	50551	46084	1974	1138
IonXpress_004_IonXpress_014	indel	51303	50551	1425	488	326
IonXpress_005_IonXpress_015	all	52599	51666	48942	2870	1735
IonXpress_005_IonXpress_015	snp	52599	51666	47078	2209	1157
IonXpress_005_IonXpress_015	indel	52599	51666	1428	453	344
IonXpress_006_IonXpress_016	all	51625	52035	49215	1624	1839
IonXpress_006_IonXpress_016	snp	51625	52035	47169	1049	1302
IonXpress_006_IonXpress_016	indel	51625	52035	1563	415	314
IonXpress_007_IonXpress_021	all	51647	52337	48972	1669	2368
IonXpress_007_IonXpress_021	snp	51647	52337	47066	1057	1697
IonXpress_007_IonXpress_021	indel	51647	52337	1440	352	432
IonXpress_008_IonXpress_020	all	51412	52107	48491	1967	2648
IonXpress_008_IonXpress_020	snp	51412	52107	46709	1295	1892
IonXpress_008_IonXpress_020	indel	51412	52107	1314	400	475
IonXpress_009_IonXpress_017	all	52329	52916	49547	1754	2373
IonXpress_009_IonXpress_017	snp	52329	52916	47615	1132	1733
IonXpress_009_IonXpress_017	indel	52329	52916	1434	358	400
IonXpress_010_IonXpress_019	all	51538	51776	48936	1745	1862
IonXpress_010_IonXpress_019	snp	51538	51776	47006	1186	1231
IonXpress_010_IonXpress_019	indel	51538	51776	1431	351	396
